Area,Period,Gear,District,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
101-ANN,1,GN,101,34248,34433,20915,58690,96047,37088,75004,63760,50063,77807,50838,39929,178430,99830,37738,96297,71164,48561,78966,35433,26325,70858,14906,82363,54520,47375,20045,40646,20097,34810,37113,66509,74072,54776,94848,32881,56986,26073
101-ANN,2,GN,101,24247,38985,13493,32017,118654,120508,103525,67156,46583,293740,158261,92743,73549,95880,28366,212055,50321,34771,95528,48522,34749,144959,73181,17682,56594,42551,62643,85912,50488,11172,84578,57994,128896,126791,147103,32975,83015,40761
101-ANN,3,GN,101,68786,72968,31334,52817,109090,149572,148826,62035,110753,232203,176227,71096,147565,82634,86389,213006,17337,18031,153506,53619,76904,71157,100301,3451,47632,14040,29721,91155,91298,28594,155482,30655,62374,151972,142458,43248,54956,43706
101-ANN,4,GN,101,64533,67666,96307,69420,80569,99329,185149,30386,157027,219331,230234,92268,148840,177969,186577,252423,263,13301,107816,127498,67246,53097,100944,0,13758,4556,15346,24731,137802,38501,195471,86406,43653,106565,100163,35855,78065,40338
101-ANN,1,OG,101,57339,16914,69310,48323,67649,21652,99332,15653,1912,14200,25192,5278,25184,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,2,OG,101,52542,76541,84519,102772,179912,92853,120309,22663,7422,271665,157059,38917,8664,21051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,3,OG,101,238675,66405,166670,333688,205114,249899,123288,24741,13894,144130,173114,15692,20216,111527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,4,OG,101,100736,34346,197138,317917,196783,158275,115931,21984,11084,66267,96860,34048,13887,194739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,1,SE,101,0,0,4023,1469,3383,2685,20916,1150,115,32044,6860,1894,32280,3792,1496,11582,0,63498,49387,22392,31225,72700,39069,31674,61175,122864,5913,61969,24598,245712,68074,85258,32448,131509,86355,40794,186692,25413
101-ANN,2,SE,101,20786,30944,36130,204778,102559,37910,115732,1265,4071,314473,122286,161712,19331,96337,17128,168864,237122,157592,100383,49294,152991,665837,217236,198587,41513,95793,65073,269979,56145,255345,106257,163262,212719,862267,615298,160899,511382,102323
101-ANN,3,SE,101,225149,113455,134080,350124,242663,252372,420834,16941,154796,533463,234580,283657,181226,206546,55649,631196,315518,50032,132771,155625,248104,550570,435975,104312,227998,182800,49670,224082,232709,539010,369459,41035,186730,815609,492924,285457,299028,276570
101-ANN,4,SE,101,218401,100752,247963,445279,153860,195456,293800,9228,332525,351301,114666,96149,105538,429224,84688,339733,176074,24268,80939,404031,280736,366037,381662,131443,206460,88070,513,47682,312993,572386,311091,209377,66985,328527,282051,144872,148119,317520
101-IN,0,GN,101,0,0,0,0,0,6,18,150,1004,2072,196,203,36,144,307,0,0,264,589,168,689,3908,2859,5544,1988,2870,3818,20994,4488,3477,27628,21979,13413,70162,55481,8875,47330,16704
