Area,Period,Gear,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,District
1-OUT,1,GN,4833,5979,2,10,315,4,228,254,0,0,0,0,0,5537,0,617,0,14165,0,0,251,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,2,GN,376,4987,105,472,95,0,0,35,15,282,990,197,297,53,418,10549,0,29777,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,3,GN,1045,1908,0,69,46,0,0,102,1369,97,0,1258,897,554,332,765,0,681,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,4,GN,1361,1257,0,12,1008,80,0,20,346,0,0,0,1082,548,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,1,SE,14667,49660,3908,11353,3865,12550,19496,12192,1637,72609,0,0,0,0,0,0,0,37476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,2,SE,23469,147515,12437,54449,15075,146639,92457,44251,48027,0,220815,138006,88899,55274,22121,98138,0,222477,0,0,310,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,3,SE,43398,43734,1645,24810,44144,58750,58465,47013,24982,77583,0,102383,103631,63140,40539,52694,0,99,2558,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
1-OUT,4,SE,16965,23052,0,42809,281111,18684,0,30585,23210,0,0,0,64404,0,13075,7483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
1-IN,0,GN,0,0,0,0,1526,0,3082,3,41,1,9625,0,958,121,48,1,366,125,400,16,0,0,0,0,0,0,73,0,0,0,0,0,NA,0,0,0,0,0,1
1-IN,0,SE,0,0,0,0,333806,0,692999,4,85714,0,1138394,0,185244,0,0,0,509614,0,140000,0,0,0,0,0,0,0,0,0,0,0,158014,0,NA,0,606300,0,0,0,1
1,1,TR,51006,21940,16257,22400,103946,153627,117462,482920,294143,548382,109706,445822,265659,101734,7948,129453,898,25468,0,0,0,21551.9416,4.426674393,9462.003722,4129.079168,998.06,2030,8351,372.57,24813,4598,12969.91475,16276.9953,28225,15245,22628,11680,1083,1
