"","year","old_SEAK_index","old_SEAK_index_expanded_by_2.5","X101","X102","X103","X105","X106","X107","X108","US_sum","new_SEAK_index_expanded_by_2.5","X3","X1","X4","X5","BC_sum","BC_index_expanded_by_1"
"1",1980,6254642,15636605,1878617.595,608005.7135,2041414.841,114094.0251,127757.6303,301935.6972,1909.443023,5073734.945123,12684337.3628075,130777,290795,745367,225825,1392764,1392764
"2",1981,5916221,14790552.5,1846770.838,474873.7636,1887282.559,273660.0189,111867.2944,117401.1777,16689.37465,4728545.02625,11821362.565625,204425,3650,1187835,121850,1517760,1517760
"3",1982,6034843,15087107.5,1342657.159,347207.6622,1392997.116,96473.29137,213154.7846,353646.8812,44270,3790406.89437,9476017.235925,427135,362000,739247,70300,1598682,1598682
"4",1983,8234208,20585520,2130234.617,970940.3816,2017387.785,221667.5359,136476.4009,347167.8898,18466.85182,5842341.46202,14605853.65505,738205,2130,2610074,81025,3431434,3431434
"5",1984,9007216,22518040,3547091.674,772402.2134,2668312.013,147757.2421,120884.0389,251226.31,13635.21909,7521308.71049,18803271.776225,531035,1213900,1037698,162450,2945083,2945083
"6",1985,12404520,31011300,3404121.654,897313.4755,3827374.57,656551.5131,857014.3823,806530.0405,53284,10502189.6354,26255474.0885,508855,1875,2042150,176075,2728955,2728955
"7",1986,14387313,35968282.5,4394329.58,1503888.538,4819764.924,637276,736272.1427,667171.1305,13264,12771966.3152,31929915.788,375245,838500,2323944,313900,3851589,3851589
"8",1987,5613688,14034220,2204649.646,463723.092,1735473.082,134147.554,236992.8009,288136.978,59380,5122503.1529,12806257.88225,372866,4500,3180414,127950,3685730,3685730
"9",1988,4430788,11076970,1213648.803,462267.1734,1102956.834,132252.8785,215399.3162,273237.4422,9228.197025,3408990.644325,8522476.6108125,185065,566100,828090,162000,1741255,1741255
"10",1989,8704092,21760230,2565923.136,722731.5834,2829923.638,352826.3144,600210.3995,878077.9634,70481,8020174.0347,20050435.08675,641270,1300,4675527,178500,5496597,5496597
"11",1990,7109022,17772555,1735449.984,925362.3798,2334873.064,355133.415,527970.1946,366569.9041,57616.57063,6302975.51213,15757438.780325,154968,1390060,2611520,202244,4358792,4358792
"12",1991,7345368,18363420,1627810.096,612136.2974,1969842.813,592130.1649,578182.0112,583533.2522,123268.648,6086903.2827,15217258.20675,388100,600,4797937,70160,5256797,5256797
"13",1992,7097095,17742737.5,2691413.49,863746.9903,1430592.776,181378.4535,406590.6304,808249.1237,57103.1686,6439074.6325,16097686.58125,196808,994800,821950,41161,2054719,2054719
"14",1993,7972481,19931202.5,2117431.534,893382,2820072.072,614400,717773.76,664080.4645,13268.96062,7840408.79112,19601021.9778,314102,350,663888,39475,1017815,1017815
"15",1994,7097471,17743677.5,1753936.026,630159.1458,1961461.563,428032.3385,848323.703,504075.5467,34500,6160488.323,15401220.8075,155356,647000,242035,44725,1089116,1089116
"16",1995,9371129,23427822.5,3821514.207,797820.1277,2764574.762,510393.5006,726426.6319,728511.4278,14774.88363,9364015.54063,23410038.851575,349017,1000,1641489,90900,2082406,2082406
"17",1996,13905898,34764745,5663175.551,1825876.263,4573475.034,870520.1024,816339.0785,625235.0205,29956,14404577.0494,36011442.6235,315160,2924000,2025661,270100,5534921,5534921
"18",1997,7275566,18188915,2236251.114,780891.371,1752522.782,620924.2355,631958.5183,529979.7946,14036.08535,6566563.90075,16416409.751875,216527,0,484476,68750,769753,769753
"19",1998,NA,NA,3103956,1145607,2751460,341806,648665,540930,26050,8558474,21396185,147940,1340512,272871,161250,1922573,1922573
"20",1999,NA,NA,2794519,1716482,3449080,2829953,3192752,794239,57591,14834616,37086540,464775,0,2000000,313450,2778225,2778225
"21",2000,NA,NA,1885571,1120354,1768655,578543,321585,460594,12775,6148077,15370192.5,322990,465000,260481,278150,1326621,1326621
"22",2001,NA,NA,4349052,1153622.74,3258783.1,1036900,995285.459,880004.9823,116395.3775,11790043.6588,29475109.147,1007899,0,1017612,395650,2421161,2421161
"23",2002,NA,NA,3245730.236,1682664.914,3142869.994,684172.3876,597041.0492,556967.3794,8476.381125,9917922.341325,24794805.8533125,600000,1000000,232451,409810,2242261,2242261
"24",2003,NA,NA,3697993.804,1339411.044,2981396.465,886453.2561,881581.8124,832929.2197,157406.9796,10777172.5808,26942931.452,841856,0,1517355,233825,2593036,2593036
"25",2004,NA,NA,2479716.548,737288.2365,3490699.619,631920.1116,562398.3004,557965.1309,36503.20006,8496491.14646,21241227.86615,542500,177500,653350,88330,1461680,1461680
"26",2005,NA,NA,2871405.532,1413587.184,2722833.722,1140610.221,750164.4566,798352.355,124531.4762,9821484.9468,24553712.367,944415,0,1213770,277400,2435585,2435585
"27",2006,NA,NA,1306503.583,753227.047,1353249.465,221190.7743,313560.2503,361527.6189,56681.87831,4365940.61681,10914851.542025,130425,250250,116097,29490,526262,526262
"28",2007,NA,NA,3988857.609,1708843.062,3733733.109,439532.5122,502401.4284,644939.9984,50333.88077,11068641.59977,27671603.999425,588684,0,627423,111200,1327307,1327307
