Region,Area,Gear,Period,1982,1984,1985,Median,Adjusted_Mean,Comments,
AK,101-ANN,GN,1,0.93,0.99,1,0.99,0.977513637,Annette Island Gillnet,
AK,101-ANN,GN,2,0.83,0.97,0.98,0.97,0.936562603,"Areas 101-24, 26, 28, and 42",
AK,101-ANN,GN,3,0.42,0.98,0.9,0.9,0.781698113,"     """,
AK,101-ANN,GN,4,0.96,0.76,0.83,0.83,0.870088343,"     """,
AK,101-ANN,OG,1,0.93,0.99,1,0.99,0.977513637,Annette Island Trap,
AK,101-ANN,OG,2,0.83,0.97,0.98,0.97,0.936562603,"Areas 101-24, 26, 28, and 42",
AK,101-ANN,OG,3,0.42,0.98,0.9,0.9,0.781698113,"     """,
AK,101-ANN,OG,4,0.96,0.76,0.83,0.83,0.870088343,"     """,
AK,101-ANN,SE,1,0.93,0.99,1,0.99,0.977513637,Annette Island Seine,
AK,101-ANN,SE,2,0.83,0.97,0.98,0.97,0.936562603,"Areas 101-24, 26, 28, and 42",
AK,101-ANN,SE,3,0.42,0.98,0.9,0.9,0.781698113,"     """,
AK,101-ANN,SE,4,0.96,0.76,0.83,0.83,0.870088343,"     """,
AK,101-IN,GN,0,1,1,1,1,1,"Terminal, Includes 101-10, 46, 80, 85, and 90 + (95)",
AK,101-IN,SE,0,1,1,1,1,1,"Terminal, Includes 101-10, 46, 80, 85, and 90 + (95)",
AK,101-IN,TR,0,1,1,1,1,1,"Terminal, Includes 101-10, 46, 80, 85, and 90 + (95)",
AK,101-OUT,GN,1,0.93,0.95,0.98,0.95,0.961069438,Tree Point 101-11,
AK,101-OUT,GN,2,0.66,0.8,0.9,0.8,0.814123865,"     """,
AK,101-OUT,GN,3,0.36,0.51,0.67,0.51,0.552853119,"     """,
AK,101-OUT,GN,4,0.87,0.32,0.52,0.52,0.600677602,"     """,
AK,101-OUT,SE,1,0.93,0.99,1,0.99,0.977513637,Revilla - All Traditional fisheries not listed in 101-IN Seine,
AK,101-OUT,SE,2,0.83,0.97,0.98,0.97,0.936562603,,
AK,101-OUT,SE,3,0.42,0.98,0.9,0.9,0.781698113,"     """,
AK,101-OUT,SE,4,0.96,0.76,0.83,0.83,0.870088343,"     """,
AK,101-OUT,TR,1,0.95,0.995,1,0.995,0.984499408,Revilla - All Traditional fisheries not listed in 101-IN Troll,
AK,101-OUT,TR,2,0.885,0.93,0.99,0.93,0.946300215,,
AK,101-OUT,TR,3,0.665,0.975,0.92,0.92,0.867223791,"     """,
AK,101-OUT,TR,4,0.975,0.88,0.915,0.915,0.934703067,"     """,
AK,102-IN,SE,0,1,1,1,1,1,"Terminal, Includes 102-15 and 102-10 & 20 pre-week 27 and 102-40, 50, 60, and 70 after week 36 (fall fishery)",
AK,102-OUT,GN,1,0.97,1,1,1,0.991447322,Lower Clarence,
AK,102-OUT,GN,2,0.94,0.89,1,0.94,0.955541573,"     """,
AK,102-OUT,GN,3,0.91,0.97,0.94,0.94,0.94683863,"     """,
AK,102-OUT,GN,4,0.99,1,1,1,0.997157589,"     """,
AK,102-OUT,SE,1,0.97,1,1,1,0.991447322,"Lower Clarence, Includes 102-10, 20, 30, 40, 50, 60, 70, 80 for weeks 27-36 ",
AK,102-OUT,SE,2,0.94,0.89,1,0.94,0.955541573,,
AK,102-OUT,SE,3,0.91,0.97,0.94,0.94,0.94683863,"     """,
AK,102-OUT,SE,4,0.99,1,1,1,0.997157589,"     """,
AK,102-OUT,TR,1,0.97,1,1,1,0.991447322,Lower Clarence All 102 except 102-15,
AK,102-OUT,TR,2,0.94,0.89,1,0.94,0.955541573,"     """,
AK,102-OUT,TR,3,0.91,0.97,0.94,0.94,0.94683863,"     """,
AK,102-OUT,TR,4,0.99,1,1,1,0.997157589,"     """,
AK,103-IN,SE,0,1,1,1,1,1,Terminal  All 103-50 thru 103-90,
AK,103-IN,TR,0,1,1,1,1,1,"Terminal, All 103 Troll.  Outside is Districts 150 & 152",
AK,103-OUT,SE,1,0.9525,0.96625,0.996666667,0.96625,0.977122558,"Cordova Bay, All 103-11 thru 103-40",
AK,103-OUT,SE,2,0.935,0.9325,0.993333333,0.935,0.962614275,"     """,
AK,103-OUT,SE,3,0.91,0.9625,0.98,0.9625,0.958334859,"     """,0.963
AK,103-OUT,SE,4,0.98,0.98125,1,0.98125,0.989776323,"     """,
AK,104-SOUTH,SE,1,0.96,0.98,0.98,0.98,0.977078615,"Dall Island, District 104-10 thru 104-30",
AK,104-SOUTH,SE,2,0.842857143,0.82,0.96,0.842857143,0.895449347,"     """,
AK,104-SOUTH,SE,3,0.73,0.89,0.96,0.89,0.879557586,"     """,
AK,104-SOUTH,SE,4,0.98,0.9,0.87,0.9,0.926248018,"     """,
AK,104-NORTH,SE,1,0.81,0.97,0.95,0.95,0.920570041,"Noyes Island, District 104-35 thru 104-50",
AK,104-NORTH,SE,2,0.84,0.86,0.97,0.86,0.908466023,"     """,
AK,104-NORTH,SE,3,0.77,0.99,0.92,0.92,0.903335584,"     """,
AK,104-NORTH,SE,4,0.94,0.98,0.92,0.94,0.951316958,"     """,
AK,104,TR,1,0.885,0.975,0.965,0.965,0.949075799,All 104 Troll,
AK,104,TR,2,0.841428571,0.84,0.965,0.841428571,0.901988532,"     """,
AK,104,TR,3,0.75,0.94,0.94,0.94,0.891641823,"     """,
AK,104,TR,4,0.96,0.94,0.895,0.94,0.93891251,"     """,
AK,105,SE,1,1,1,1,1,1,Agreed non-intercept area,
AK,105,SE,2,1,1,1,1,1,"     """,
AK,105,SE,3,1,1,1,1,1,"     """,
AK,105,SE,4,1,1,1,1,1,"     """,
AK,105,TR,1,1,1,1,1,1,Agreed non-intercept area,
AK,105,TR,2,1,1,1,1,1,"     """,
AK,105,TR,3,1,1,1,1,1,"     """,
AK,105,TR,4,1,1,1,1,1,"     """,
AK,106-IN,GN,0,1,1,1,1,1,"Terminal 106-25 & 28, All Hatchery Terminal Areas ",
AK,106-IN,SE,0,1,1,1,1,1,"Terminal 106-25 & 28, All Hatchery Terminal Areas ",
AK,106-IN,TR,0,1,1,1,1,1,"Terminal 106-25 & 28, All Hatchery Terminal Areas ",
AK,106-OUT,GN,1,0.99,0.995,1,0.995,0.995954126,"Upper Clarence, All 106 Traditional",
AK,106-OUT,GN,2,0.91,0.955,1,0.955,0.963156637,"     """,
AK,106-OUT,GN,3,0.95,0.975,1,0.975,0.979651751,"     """,
AK,106-OUT,GN,4,1,1,1,1,1,"     """,
AK,106-OUT,SE,1,0.99,0.995,1,0.995,0.995954126,"Upper Clarence, All 106 Traditional",
AK,106-OUT,SE,2,0.91,0.955,1,0.955,0.963156637,"     """,
AK,106-OUT,SE,3,0.95,0.975,1,0.975,0.979651751,"     """,
AK,106-OUT,SE,4,1,1,1,1,1,"     """,
AK,106-OUT,TR,1,0.99,0.995,1,0.995,0.995954126,"Upper Clarence, All 106 Traditional",
AK,106-OUT,TR,2,0.91,0.955,1,0.955,0.963156637,"     """,
AK,106-OUT,TR,3,0.95,0.975,1,0.975,0.979651751,"     """,
AK,106-OUT,TR,4,1,1,1,1,1,"     """,
AK,107-IN,GN,0,1,1,1,1,1,"Terminal, Non 107-10 and 35 (Anita Bay SHA)  areas",
AK,107-IN,SE,0,1,1,1,1,1,"Terminal, Non 107-10 and 35 (Anita Bay SHA)  areas",
AK,107-IN,TR,0,1,1,1,1,1,"Terminal, Non 107-10 and 35 (Anita Bay SHA)  areas",
AK,107-OUT,SE,1,1,1,1,1,1,"Agreed non-intercept area, 107-10, 107-35 (Anita Bay SHA) only",
AK,107-OUT,SE,2,1,1,1,1,1,"""",
AK,107-OUT,SE,3,1,1,1,1,1,"""",
AK,107-OUT,SE,4,1,1,1,1,1,"""",
